material,schedule,total_cooling_kWh,sensible_cooling_kWh,latent_cooling_kWh
Concrete,AC normal,1900.832909,1637.124786,263.708124
White paint,AC normal,1085.719963,850.867153,234.852810
Cool paint,AC normal,1447.156777,1196.275949,250.880828
Evaporative paint,AC normal,970.375306,741.195090,229.180216
Green wall,AC normal,1018.439572,786.583791,231.855781
Concrete,AC 24h,3033.327828,2661.041027,372.286801
White paint,AC 24h,1764.632802,1424.461195,340.171607
Cool paint,AC 24h,2346.214439,1988.813572,357.400867
Evaporative paint,AC 24h,1586.139304,1254.294792,331.844512
Green wall,AC 24h,2092.835102,1754.348540,338.486562
