datetime,material,schedule,case_name,total_cooling_kWh,sensible_cooling_kWh,latent_cooling_kWh
2018-02-08 01:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,75.574430,70.041417,5.533013
2018-02-08 02:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,69.634367,64.271361,5.363006
2018-02-08 03:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,64.430808,59.107473,5.323335
2018-02-08 04:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,59.679974,54.407680,5.272294
2018-02-08 05:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,55.259018,50.090093,5.168925
2018-02-08 06:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,51.238640,46.124681,5.113958
2018-02-08 07:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,47.624203,42.500652,5.123552
2018-02-08 08:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 09:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 10:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 11:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 12:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 13:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 14:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 15:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 16:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 17:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 18:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 19:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 20:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 21:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 22:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,0.000000,0.000000,0.000000
2018-02-08 23:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,126.076063,81.202931,44.873132
2018-02-09 00:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,82.933022,76.837185,6.095837
2018-02-09 01:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,75.777762,70.243183,5.534580
2018-02-09 02:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,69.825543,64.460270,5.365273
2018-02-09 03:00:00,Concrete,AC normal,863b_concrete_ACnormal_3days,64.610805,59.284811,5.325994
